Date,Region,Country,Supplier Name,Inventory,Lead Time (days),Transport Status,News Sentiment,Weather Condition,Risk Factor
2024-12-30,Oceania,Germany,Sharp LLC,3956,13,In Transit,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,Medium
2024-04-24,Africa,South Africa,Williams LLC,41068,17,In Transit,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-03-11,Asia,India,Flowers-Baker,13444,14,In Transit,Drought conditions lead to reduced tomato supply.,Mild rainfall aiding crop growth,Medium
2024-05-30,Oceania,Brazil,Wallace Group,64656,15,Delayed,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High
2024-08-23,Oceania,USA,"Peterson, Smith and Ellison",35546,18,In Transit,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,Medium
2024-10-01,Africa,Australia,Lawson Ltd,9082,8,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-12-09,Africa,South Africa,Wright Ltd,52112,10,In Transit,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-10-24,Oceania,India,Carlson Inc,77337,28,Delayed,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,High
2024-06-05,Asia,India,Smith-Fisher,91990,14,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,Medium
2024-10-03,South America,USA,"Jones, Wilson and Long",55983,17,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High
2024-09-01,Europe,USA,Gutierrez-Stewart,55374,27,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,High
2024-04-23,South America,Brazil,Parker Ltd,30270,12,Delayed,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
2024-07-17,Oceania,South Africa,"Glass, Ford and Ramirez",5143,18,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-10-18,North America,India,Li-Berry,55916,2,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-12-05,South America,China,Rich-Green,48977,6,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,Low
2025-01-13,North America,USA,Park-White,37389,9,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-09-19,Oceania,China,"Mora, Ramirez and Gardner",75728,18,Delayed,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2025-01-15,Africa,USA,"Young, Dyer and Baldwin",58585,18,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Mild rainfall aiding crop growth,Medium
2024-03-28,Oceania,South Africa,"Dunn, Reid and Roberts",93863,23,Delayed,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High
2024-06-05,South America,India,Spence-Allen,96918,3,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-02-06,North America,Canada,Welch-Mahoney,76225,18,In Transit,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-07-14,Oceania,Germany,Hobbs-Moore,80678,30,In Transit,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-06-22,North America,India,Elliott-Hester,84862,30,In Transit,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,High
2024-04-28,North America,Brazil,Cook-Cohen,80906,28,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-08-09,Asia,Canada,Lee-Smith,34156,10,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium
2024-12-28,Asia,USA,"Andrews, Moore and White",27393,13,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,Medium
2024-07-29,Oceania,India,"Wong, Dillon and Mcconnell",19100,19,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,Medium
2024-03-15,North America,India,Hall-Wiley,20018,10,In Transit,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2025-01-12,Oceania,Brazil,"Williamson, Johnson and Phillips",25370,24,In Transit,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,High
2024-02-24,Asia,China,"Johnson, Jackson and Robertson",40411,13,In Transit,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,Medium
2024-01-21,Oceania,Canada,Buck-Reed,23448,25,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-01-29,Oceania,Brazil,"Howard, Esparza and West",47455,27,In Transit,Improved infrastructure reduces transportation delays.,Heavy rainfall causing waterlogging,High
2024-06-02,North America,Brazil,Miller Inc,52347,20,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-12-01,Oceania,Australia,Wade-Berger,1495,25,Delayed,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,High
2024-10-25,Asia,India,Reyes-Turner,79518,5,Delayed,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,High
2024-07-26,South America,South Africa,Berry-Reid,52293,27,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Drought leading to crop failure,High
2024-10-15,Oceania,South Africa,Kim-Young,67304,20,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-03-10,Asia,Canada,"Hardy, Smith and Guzman",45714,21,In Transit,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,High
2024-12-04,Africa,South Africa,Wells-Walker,50202,19,Delayed,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,High
2024-12-20,Europe,India,"Morton, Brock and Hughes",17485,20,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,Medium
2024-12-31,Oceania,India,Diaz Group,97095,10,Delayed,Tomato prices soar due to unexpected frost in the region.,Unexpected frost damaging crops,High
2024-04-07,Oceania,Germany,"Francis, Miller and Wong",88600,27,Delayed,Labor shortages affect harvesting in rural areas.,Mild rainfall aiding crop growth,High
2024-09-09,Asia,China,"Moore, Boone and White",35144,27,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-07-03,Oceania,India,"Estes, Coleman and Smith",45756,23,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,High
2024-05-14,Asia,India,"Smith, Bishop and Nichols",95970,10,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,Medium
2024-04-24,North America,India,Brown Inc,14558,7,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium
2024-10-24,South America,Brazil,Doyle-Clark,57407,13,In Transit,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,Medium
2024-03-25,Oceania,Canada,Robertson-Mueller,1751,22,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-11-24,Africa,Canada,"Huffman, Olsen and Parker",38611,2,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,Low
2024-03-01,Oceania,USA,Clark-Mclaughlin,65385,29,Delayed,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,High
2024-06-25,Asia,Brazil,"Vega, Peters and Thompson",56006,24,In Transit,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,High
2024-04-03,Oceania,India,Maynard-Bradshaw,49611,15,Delayed,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,High
2024-04-19,Oceania,Australia,Peterson-Flores,73477,5,In Transit,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,Low
2024-06-28,North America,South Africa,Wilson and Sons,81201,15,Delayed,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-12-17,Oceania,India,"Wood, Bailey and Horne",19748,27,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,High
2025-01-09,North America,Germany,Harris PLC,19264,21,Delayed,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,High
2024-08-23,Africa,Australia,Schwartz and Sons,45179,29,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High
2024-05-09,Africa,Brazil,"Case, Long and Mack",28062,6,Delayed,Tomato prices soar due to unexpected frost in the region.,Unexpected frost damaging crops,High
2024-08-31,Asia,Germany,York LLC,99960,2,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,Low
2024-05-26,Europe,Brazil,"Lang, Buchanan and Smith",97611,22,In Transit,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-05-13,North America,Canada,Garcia-Hoover,33660,4,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,Low
2024-05-11,North America,Canada,Williams PLC,11959,22,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High
2024-07-13,North America,Brazil,"Curtis, Chavez and Gonzalez",30773,22,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-12-24,North America,Canada,"White, Davis and Alvarez",7912,11,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,Medium
2024-04-10,North America,Brazil,Mcdonald-Chandler,83982,19,In Transit,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,Medium
2024-05-13,Oceania,USA,Walters LLC,78822,16,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-06-08,Asia,China,Fuentes-Martin,13963,15,In Transit,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,Medium
2025-01-15,North America,China,Wilson Group,85463,7,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,Low
2024-07-15,South America,Brazil,Mcpherson-Ramos,38046,25,Delayed,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2024-11-26,Europe,Brazil,Miller PLC,66180,26,Delayed,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,High
2024-06-01,North America,USA,"Daniel, Woods and Moore",11321,12,In Transit,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,Medium
2024-10-13,Asia,USA,Daniels-Mendoza,13999,9,Delayed,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,High
2024-01-28,Europe,Australia,Dillon Ltd,57829,29,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,High
2024-11-14,Europe,Germany,"Williams, Ware and Adams",67900,8,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,Low
2024-07-26,Africa,USA,Reeves-Garza,67643,26,Delayed,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,High
2024-12-15,Europe,China,"Moreno, Sullivan and Fuller",51614,7,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-05-19,North America,Brazil,"Obrien, Bush and Valdez",31625,13,In Transit,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,Medium
2025-01-15,Oceania,India,"Melendez, Browning and Bowen",26602,13,Delayed,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High
2024-06-04,Oceania,South Africa,Baker-Perkins,39932,11,Delayed,Tomato prices soar due to unexpected frost in the region.,Unexpected frost damaging crops,High
2024-09-08,Asia,South Africa,Flores-Patterson,80308,22,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,High
2024-04-08,Oceania,Australia,Walsh Inc,50248,4,Delayed,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-05-29,North America,USA,Hebert LLC,35831,26,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,High
2024-10-15,North America,Canada,Ford-Wallace,22464,11,Delayed,Tomato prices soar due to unexpected frost in the region.,Mild rainfall aiding crop growth,High
2024-04-28,South America,Canada,Finley LLC,73167,24,In Transit,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-04-22,Oceania,South Africa,Wilson-Goodwin,36041,25,Delayed,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,High
2024-12-23,Oceania,India,"Smith, Hoover and Williams",46431,1,Delayed,Export restrictions lead to surplus in local markets.,Sunny and favorable for farming,High
2024-12-03,Europe,Australia,"Valdez, Brown and Mcdonald",92156,22,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-10-16,Oceania,India,Rogers Ltd,30208,27,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Sunny and favorable for farming,High
2024-03-25,Africa,Germany,Mcmillan-Kramer,86922,25,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,High
2024-06-21,Asia,South Africa,Gonzalez and Sons,1756,25,Delayed,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2025-01-12,North America,Australia,"Williams, Key and Harmon",42157,19,In Transit,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,Medium
2024-03-25,Asia,Canada,"Rose, Kerr and Peterson",82891,28,In Transit,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-05-02,South America,South Africa,Gentry-Berg,57924,18,Delayed,Government announces subsidies for tomato farmers.,Heavy rainfall causing waterlogging,High
2024-10-07,South America,Germany,Smith-Browning,31503,2,Delayed,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-08-05,Africa,Australia,Moore-Thompson,34813,12,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,Medium
2024-10-14,Europe,South Africa,"Duran, Jimenez and Henderson",63390,29,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Sunny and favorable for farming,High
2024-08-12,Europe,China,"Wilson, Nixon and Nguyen",47040,28,Delayed,Government announces subsidies for tomato farmers.,Heavy rainfall causing waterlogging,High
2024-05-02,Asia,India,"James, Sullivan and Martinez",96811,29,In Transit,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,High
2024-10-05,Europe,China,"Key, Castillo and Jackson",58777,2,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,Low
2024-04-05,Asia,China,"Lee, Bell and Moore",62276,18,Delayed,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,High
2025-01-14,Africa,China,Baker Ltd,16025,8,Delayed,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,High
2024-03-13,North America,China,Conley-Bruce,1286,22,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2024-06-25,South America,Brazil,"Williams, Baldwin and Cook",26135,26,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,High
2024-01-31,North America,Australia,"Dunn, Castaneda and Fowler",3685,15,In Transit,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,Medium
2024-02-11,North America,China,Yang-Holmes,99782,1,Delayed,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,High
2024-12-21,Europe,China,Marquez-Perez,82567,26,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,High
2024-07-02,North America,USA,Shaw-Rodriguez,95185,15,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Drought leading to crop failure,Medium
2024-12-19,North America,Brazil,Schneider-Delgado,21256,19,In Transit,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,Medium
2024-06-15,North America,Canada,"Clark, Moore and Blevins",1116,3,Delayed,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-07-24,Europe,Australia,"Hall, Jenkins and Smith",6482,13,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-07-31,Asia,China,Johnson Inc,55943,22,In Transit,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,High
2024-10-20,South America,USA,Schmidt-Valencia,80361,21,Delayed,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,High
2024-02-19,Oceania,India,Aguilar-Garza,17640,15,Delayed,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-03-20,Oceania,Australia,Hamilton-Carter,11465,19,In Transit,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-09-26,Africa,USA,Price Group,60234,18,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-03-11,North America,Australia,"Rocha, Wyatt and Daniel",88827,20,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,Medium
2024-04-28,Europe,Australia,Walton-Rodriguez,40718,26,In Transit,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,High
2024-03-06,North America,Australia,Torres-Crawford,90371,14,In Transit,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-04-14,Europe,India,Solomon LLC,68436,7,Delayed,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,High
2024-03-07,Oceania,Australia,Bailey-Allen,58041,8,In Transit,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,Low
2024-03-27,Asia,Brazil,"Smith, Warner and Juarez",29123,22,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,High
2024-12-06,Europe,Australia,Wu Ltd,44800,16,In Transit,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-12-19,Europe,Brazil,Dickerson and Sons,55450,13,In Transit,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,Medium
2024-03-31,South America,Germany,"Kelly, Mitchell and Taylor",29175,13,Delayed,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,High
2024-03-24,North America,USA,"Mccarthy, Mathis and Ramos",30817,12,Delayed,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,High
2024-03-07,Africa,Brazil,Cabrera-Wright,33690,17,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Heavy rainfall causing waterlogging,Medium
2025-01-11,Asia,Germany,Miller Ltd,32493,29,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-09-09,Europe,Canada,"Rodriguez, Peterson and Reeves",25654,4,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,Low
2024-12-02,Oceania,India,"Copeland, Williams and Gonzalez",28342,21,In Transit,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,High
2024-09-04,South America,South Africa,Murphy LLC,19538,19,In Transit,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,Medium
2024-08-28,South America,USA,Barber-Durham,97847,24,Delayed,Improved infrastructure reduces transportation delays.,Heavy rainfall causing waterlogging,High
2024-09-28,Oceania,India,Smith-Sanchez,9066,4,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,Low
2024-10-18,Africa,China,Luna-Harrison,13554,15,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Sunny and favorable for farming,Medium
2024-03-17,Oceania,Germany,"Hopkins, Mason and Gilbert",99027,26,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,High
2024-08-04,North America,South Africa,Fritz-Mcdonald,52297,25,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,High
2024-02-03,South America,Canada,"Allen, Hawkins and Grant",36748,29,In Transit,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,High
2024-12-06,Africa,Canada,Sanders-Cruz,50457,24,In Transit,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,High
2024-04-03,South America,Australia,Perry-Nguyen,92801,28,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,High
2024-03-17,Asia,South Africa,Price-Wilkins,12820,12,In Transit,Pest infestation reduces tomato output in key regions.,Drought leading to crop failure,Medium
2024-06-16,Oceania,India,"Peterson, Holmes and Cochran",95131,19,Delayed,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High
2024-11-05,Oceania,Brazil,Stuart LLC,86633,16,In Transit,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2025-01-02,Africa,USA,Watkins LLC,61920,24,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Sunny and favorable for farming,High
2024-12-05,South America,Brazil,"Perez, Parker and Berry",95112,11,In Transit,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,Medium
2024-10-08,North America,Brazil,West-Warren,85792,6,Delayed,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-10-22,Oceania,Brazil,"Butler, House and Wilkins",90641,19,Delayed,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,High
2024-04-03,South America,Canada,Peck-Thornton,84996,5,Delayed,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High
2024-08-31,North America,USA,Young-Key,54783,7,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,Low
2024-10-03,Oceania,Germany,"Simmons, Reynolds and Keller",27630,12,Delayed,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,High
2024-11-20,Oceania,Germany,"Sloan, Alexander and Miller",88107,28,In Transit,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,High
2024-12-26,Oceania,USA,Jenkins LLC,64688,26,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,High
2024-05-29,Europe,Canada,"Daniels, Sanchez and Ford",29032,18,In Transit,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,Medium
2025-01-01,South America,USA,"Alexander, Hahn and Reed",58670,14,Delayed,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,High
2024-12-05,North America,China,"Thomas, Hood and Weiss",46635,2,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-12-12,Africa,Canada,Bryant PLC,81127,18,Delayed,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,High
2024-10-17,Africa,South Africa,Warren Inc,60315,16,Delayed,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,High
2024-05-22,Asia,Canada,"Cruz, Wong and Murray",67830,20,Delayed,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,High
2025-01-01,Africa,South Africa,"Hayes, Wood and Zimmerman",44591,11,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,Medium
2025-01-01,Africa,South Africa,Bernard Group,7362,9,Delayed,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-07-03,South America,Australia,Wells Ltd,19510,1,Delayed,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,High
2025-01-15,Asia,Brazil,Lowe-Russell,33619,26,Awaiting Dispatch,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,High
2024-01-28,Oceania,USA,"Carrillo, Fox and Wilkinson",95592,2,In Transit,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-08-25,Africa,South Africa,Kelly Group,72336,29,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-10-28,Europe,Canada,"Brown, Conner and Fisher",59167,17,Delayed,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,High
2024-02-29,Asia,Brazil,Parsons-Willis,50641,21,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,High
2024-10-14,South America,China,"Patterson, Porter and Ward",16535,19,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,Medium
2024-01-30,North America,South Africa,"Smith, Evans and Moore",57338,17,In Transit,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,Medium
2024-11-19,North America,Australia,Mcintosh Ltd,58475,5,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,Medium
2024-07-02,Africa,South Africa,Walker-Golden,57088,19,Delayed,Tomato prices soar due to unexpected frost in the region.,Mild rainfall aiding crop growth,High
2024-11-29,Oceania,Australia,Lopez Group,81483,18,Delayed,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-05-27,South America,Germany,Blankenship-Weber,33304,3,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,Low
2024-11-13,Europe,Canada,"Anderson, Joseph and Smith",88129,14,Delayed,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High
2024-02-25,Oceania,USA,"Hughes, Hernandez and Jones",30388,25,In Transit,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High
2024-06-19,Oceania,Germany,Davis-Nguyen,51544,19,In Transit,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,Medium
2024-05-27,North America,Brazil,"Malone, Ali and Collins",47596,9,Delayed,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,High
2024-01-30,Africa,China,"Mendoza, Valdez and Love",84072,2,In Transit,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,Low
2024-04-15,North America,Canada,"Reid, Reed and Goodwin",75743,26,Delayed,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,High
2024-04-29,Asia,USA,Harris-Fox,61764,4,In Transit,Farmers report higher yields thanks to favorable weather.,High humidity increasing pest risks,Low
2024-01-25,South America,Australia,"Valencia, Oconnor and Williams",55791,15,In Transit,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,Medium
2025-01-17,North America,Australia,Sullivan Ltd,18217,30,In Transit,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High
2024-01-29,Asia,Germany,"Harris, Rivas and Mendoza",75965,26,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,High
2024-10-28,Africa,Brazil,"Morgan, Kennedy and Colon",40474,22,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,High
2024-04-14,Africa,China,Cobb-Kirby,58491,22,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High
2024-12-15,North America,Australia,Guzman-Austin,68015,27,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,High
2024-08-04,South America,South Africa,Reeves LLC,42301,24,In Transit,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-06-16,Oceania,USA,Adams-Gonzalez,24602,26,Delayed,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
2024-09-17,Asia,Brazil,Galloway PLC,7806,15,In Transit,Pest infestation reduces tomato output in key regions.,Drought leading to crop failure,Medium
2024-03-14,Asia,USA,Howell-Nolan,25378,22,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,High
2024-04-08,Oceania,Germany,Mcneil Ltd,87958,30,Delayed,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-11-27,Asia,Germany,Patterson-Moses,27139,25,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-03-18,Asia,Australia,Davis-Hodge,23494,30,In Transit,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,High
2024-06-28,South America,USA,Lamb-Holland,82491,23,Delayed,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,High
2024-12-04,North America,Brazil,"Wilson, Clark and Wheeler",16303,22,Delayed,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,High
2024-01-28,Africa,Germany,Johnson-Lawson,90188,3,Delayed,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,High
